match_id,action_id,n_lane_blockers,max_def_cheap,max_def_exact,exact_score_of_cheap_pid,pid_cheap,pid_exact
10502,67,10,0.03172015438674245,0.595225278874528,0.015644374897644475,8026.0,8134.0
10502,68,7,0.01917896506138574,1.6355954597011966,0.0026387158984428893,802.0,1973.0
10502,69,8,0.052166089788211814,0.8058643561915151,0.0024074882370461737,802.0,1973.0
10502,70,9,0.07006061865824612,0.8940331493408058,0.0013428851669212705,802.0,1973.0
10502,71,10,0.07798161376359516,0.6144952575337506,4.0852494331389266e-05,107.0,916.0
10502,72,10,0.06783767671897156,0.7811548787311633,0.005190286927173382,802.0,1971.0
10502,73,8,0.02732238816883934,1.1863740835519412,0.10224405413431015,1339.0,1973.0
10502,74,8,0.035444662374903,1.4604196267985587,0.0,1336.0,1973.0
10502,75,7,0.021819773953470383,1.0122920443197039,0.0003675666070659389,13121.0,1973.0
10502,76,7,0.015427317104992535,1.157714035307455,0.05383519693265093,1334.0,1973.0
10502,77,6,0.04085934498252435,0.32236627747593083,0.011525722182634368,8327.0,8134.0
10502,78,4,0.029569404864833393,0.8515238408683166,0.015246057594740847,8327.0,8134.0
10502,79,7,0.0,0.0,,,
10502,80,7,0.045097665046126376,1.8229571292232158,0.0,37.0,8134.0
10502,81,8,0.03126616074376337,1.7176781226985858,0.0,37.0,8134.0
10502,82,7,0.007419296694070422,0.5592228015825118,0.00015623091267835676,802.0,1973.0
10502,83,6,0.2001440012419286,0.0,0.0,37.0,
10502,84,5,0.5581013439122289,0.026581979931258104,0.026581979931258104,8033.0,8033.0
10502,86,6,0.24072753920260584,0.43118187075563164,0.034052022368513235,8327.0,11094.0
10502,87,9,0.133415279159941,1.0114866105641305,0.9849430607346115,8327.0,8134.0
10502,88,9,0.06750963042265175,0.44609721674143543,0.02839709487192188,8327.0,8134.0
10502,89,7,0.03789302421114581,0.6604411121366063,0.007190840591523084,11094.0,8134.0
10502,90,8,0.0,0.6960577879972956,,,284.0
10502,91,6,0.015819054749543177,0.8105686803064405,0.056137142372612914,8022.0,8026.0
10502,92,8,0.013100865465684265,0.3827652949331335,0.00994334211439929,1971.0,8343.0
10502,93,7,0.012422523277430911,1.2523949299183417,0.14056914864247272,1522.0,8026.0
10502,94,7,0.02417243073154784,1.053094488701665,0.19455871217150422,1522.0,8026.0
10502,95,7,0.015136025970988001,0.6564496675581202,0.5166409707538246,8026.0,284.0
10502,96,7,0.017330536739899843,0.8248864558560238,0.0002844375274886346,8342.0,11094.0
10502,97,7,0.00902546667032249,0.8248864558560238,0.0031608942613101654,8134.0,11094.0
10502,98,10,1.9896863962594646e-05,0.0,0.0,8342.0,
10502,99,7,0.007239157454369783,0.5526521667781994,6.241477344559598e-05,107.0,8343.0
10502,100,7,0.010658756854272066,0.5526521667781994,6.241477344559598e-05,107.0,8343.0
10502,103,6,0.02242377971467689,0.880367792772569,0.0026587915852056554,107.0,8343.0
10502,104,6,0.002211413806352618,8.656817376622424,0.044635492551398315,13121.0,8343.0
10502,105,6,0.00210304197366431,8.656817376622424,0.044635492551398315,13121.0,8343.0
10502,106,5,0.00819804271084576,1.8986598308810727,0.07739880324748327,284.0,1522.0
10502,107,5,0.03145915143366926,1.2115733972729377,0.02825800989589311,13121.0,8343.0
10502,108,8,0.0013353001977927537,0.7007353680855708,0.4970111435485194,8342.0,1522.0
10502,109,10,0.0,0.0,,,
10502,110,10,0.023080128390113943,0.7304212009904267,0.002953388829140202,802.0,8343.0
10502,111,6,0.0015030999667473327,0.0,0.0,8026.0,
10502,112,6,0.2946938886808639,0.08955547796659147,0.03255152831684427,8327.0,11094.0
10502,113,6,0.2946938886808639,0.08955547796659147,0.03255152831684427,8327.0,11094.0
10502,115,9,0.0494690966143303,0.6726285855839276,0.01544594553660339,8033.0,8022.0
10502,116,9,0.032986288493008185,0.6476964141632715,0.024559200387127333,1522.0,8026.0
10502,117,9,0.05855526760190206,0.8995141760675516,0.267661791126077,8327.0,8022.0
10502,118,7,0.020257552680845226,0.7867937240352445,6.221289778096661e-05,11094.0,8026.0
10502,119,9,0.020690651711742065,0.7227255356448339,0.07382974651721685,916.0,1971.0
10502,120,8,0.013503586420237986,0.5384191283807418,0.5384191283807418,1971.0,1971.0
10502,121,8,0.01605046869724815,0.5384191283807418,0.5384191283807418,1971.0,1971.0
10502,122,6,0.003990719832562157,0.7352646243165433,0.07576616179855078,8033.0,37.0
10502,123,6,1.2987342031696247e-05,2.834842432046726,4.701622467351285e-06,11094.0,37.0
10502,124,9,1.030181553068174e-08,1.153214020065044,1.445633150964909e-06,11094.0,1522.0
10502,125,9,0.03820065821325851,0.8466074205679854,0.0,802.0,916.0
10502,126,8,0.16298910182598247,0.8113291652653043,0.06231474879521404,802.0,1973.0
10502,127,6,0.0608131543136547,0.8809224268266593,0.12039126828980162,107.0,1973.0
10502,128,8,0.05677617963930811,1.0273054306070888,0.06101658728051795,107.0,1973.0
10502,129,10,0.06817366923599552,0.9569782786365018,0.037206484348428326,1339.0,1973.0
10502,130,10,0.05730090086284608,0.8825918802376247,6.0588969387431746e-05,107.0,8343.0
10502,131,10,0.04145078639165112,1.2254930496668903,0.0002144137345077013,107.0,8343.0
10502,132,8,0.04961799114604691,0.8464651717736933,0.009521285010310798,802.0,1973.0
10502,133,9,0.030816473491042322,0.8788619294301458,0.0041766915067675825,802.0,1973.0
10502,134,9,0.04464529085627539,0.8788619294301458,0.0041766915067675825,802.0,1973.0
10502,135,8,0.04151313156148983,0.6132031155685511,0.08776718303094366,1339.0,8343.0
10502,136,8,0.030647187132986593,0.6132031155685511,0.08776718303094366,1339.0,8343.0
10502,137,8,0.01859362228339198,1.0211974677754299,0.12167464779373605,1336.0,8343.0
10502,138,9,0.023355630959875803,0.8754617857062126,0.09539695256597813,1336.0,8343.0
10502,139,10,0.015914806792369698,0.9983665490500013,0.021455885631988192,13121.0,1973.0
10502,140,9,0.020661362251943295,0.6086872366756173,0.11400701808669722,1339.0,1971.0
10502,141,7,0.00019575495007307246,0.8395300969067248,8.041009023296297e-05,1334.0,1973.0
10502,142,5,1.6508808635367716e-08,1.2282491063837444,0.008145509976204224,916.0,1973.0
10502,143,5,2.4623100512800844e-13,1.2282491063837444,,,1973.0
10502,144,8,1.1982831062937278e-05,0.10162375247327837,0.0,8343.0,1973.0
10502,145,7,0.027425833565257345,0.7603614561263186,0.021917354563227853,1971.0,1973.0
10502,146,8,0.0,0.0,,,
10502,147,9,0.07402441954088078,0.0,0.0,1334.0,
10502,149,8,0.01847152378549193,1.1245958859689145,0.0003791871352021303,8327.0,11094.0
10502,150,6,0.01120051526084154,0.8599028596672778,0.05062448990604729,8327.0,11094.0
10502,152,7,0.005233535138013513,0.16160864981613265,0.16160864981613265,1973.0,1973.0
10502,153,5,0.02719944805434767,0.6584248572536548,0.019983066445540487,1334.0,1973.0
10502,154,6,0.025835704428320994,0.7191002907121051,0.12265683486126289,8327.0,8134.0
10502,155,7,0.015395762641460146,1.1426051037753133,0.027074423378754986,1334.0,1973.0
10502,156,7,0.07471736205710097,0.7316160766079394,0.0022794406578210413,802.0,1973.0
10502,157,8,0.0633531379403126,0.8061300930574458,0.016172810205443255,802.0,8343.0
10502,158,10,0.0147076523748869,1.0183156562855604,0.08280529444444173,13121.0,1973.0
10502,159,8,0.07105461955957268,1.1136720449172275,0.021552374514389072,1339.0,1973.0
10502,160,8,0.0778219966150698,0.91648567387052,0.005655078842994321,802.0,1973.0
10502,161,8,0.05236797317071049,0.8593567173523748,0.013964014944510161,802.0,1973.0
10502,162,10,0.08431157484016581,0.6597214228308568,0.00621051310545262,802.0,1973.0
10502,163,10,0.08213670268136491,0.7629017526625352,0.0014350610107980444,107.0,8343.0
10502,164,8,0.1070076643766372,0.6002500841393772,0.008030851463882271,802.0,8343.0
10502,165,8,0.10852340156874908,0.887031843215345,0.03864466207861472,802.0,1973.0
10502,167,8,0.009140451298798946,2.1209674088684194,0.011315116613220155,8342.0,1522.0
10502,168,8,0.026930519491990434,2.2450344312061947,0.0006709671102509418,8342.0,1522.0
